"id","pregunta"
"1_LVG_CC","¿cómo funciona la IA? "
"2_LVG_CC","¿qué aplicaciones tiene en los negocios?"
"3_LVG_CC","Donde puedo conseguir una IA apropiada para cada necesidad"
"4_LVG_CC","¿cuanto cuesta crear IA?"
"5_LVG_CC","Donde puedo aprender como hacer prompts"
"6_LVG_CC","necesito crear una IA desde cero para mi necesidad o puedo hacer uso de lo existente"
"7_LVG_CC","Como puedo saber si algo fue generado con IA o no"
"8_LVG_CC","¿cómo se ve el futuro de la IA?"
"9_LVG_CC","Con una IA, como puedo meter todos mis datos y lograr indicadores, prescipción y temas asociados"
"10_LVG_CC","En Colombia, que empresas ya estan haciendo uso de la IA o como ya se esta implementando "
"11_LVG_CC","Que IA existen hoy que me remplacen roles basicos de una organización"
"12_LVG_CC","Porque la sociedad y el mundo lo ve con un gran potencial para la humanidad "
"13_LVG_CC","Una persona que no tiene conocimientos en programación,infomartica o tecnologia podria hacer uso adecuado de la IA"
"14_LVG_CC","Como se entrena una IA y cada cuanto requiere reentrenamiento"
"15_LVG_CC","Que es el maching learning y como se relaciona con la IA"
"16_LVG_CC","Cuales son los proximos trabajos o profesiones que tienden a desaparecer con la IA"
"17_LVG_CC","Como la IA podria decifrar otros datos que no se le han ingresado "
"18_LVG_CC","Que es una GPU, para que sirve y porque se necesita en las IA"
"24_LVG_CC","El avance de la Quantum Computing es necesario o será en next step necesario para la explosión de la IA"
"26_LVG_CC","Como puedo utilizar IA y proteger los datos que use en ella, de cara a confidencialidad y demáa"
"28_LVG_CC","Como puedo saber que IA utiliza la competencia"
"1_EA_MAE","¿Podría la IA lograr autogestionarse para evitar la discriminación?"
"2_EA_MAE","¿Cómo saber cual es la IA mas apropiada (técnicamente) para lo que busco?"
"3_EA_MAE","¿Cómo me demuestras la confiabilidad en la calidad de información de una IA?"
"4_EA_MAE","¿Cómo puedo personalizar contenidos con IA?"
"5_EA_MAE","¿Cuál es la cantidad de información mínima que requiero, la IA puede determinar eso?"
"6_EA_MAE","¿Cómo se cuanta información requiero para una tarea que le propomga a una IA?"
"7_EA_MAE","¿cuánta energía requiero para operar una IA?"
"8_EA_MAE","¿Cuál es la mejor forma para integrar diferentes tecnologías que alimenten la IA?"
"9_EA_MAE","¿Exist una integración entre blockchain e IA?"
"10_EA_MAE","¿Puedo limitar el alcance de la IA para evirar dilemas éticos?"
"11_EA_MAE","¿Las IA pueden comercializar NFTs?"
"12_EA_MAE","¿Puedo apoyarme con heramientas de IA para compra y ventas en mis finanzas personales?"
"13_EA_MAE","¿Puede el uso masivo de la IA afectar mercados que mercado de valores?"
"14_EA_MAE","¿Que será primero una operación médica realizada 100% por IA o un sistema de servicio publico de transporte operado autonomamente?"
"15_EA_MAE","¿Como optimizar la detección de fraude por el uso de IA?"
"16_EA_MAE","¿Cómo controlar el uso inadecuado de la IA?"
"17_EA_MAE","¿Que herramientas que utilicen IA y Metaverso?"
"18_EA_MAE","¿Cómo lograr que la gente use la IA en su vida cotidiana de manera conciente?"
"19_EA_MAE","¿cómo incluir el contexto cultural al usar IA?"
"1_NA_AP","¿Que es la IA?"
"2_NA_AP","¿Como la IA puede contribuir a la mejora de la calidad d evida de las personas?"
"3_NA_AP","¿Como verificar que la información que nos da la IA es segura?"
"4_NA_AP","¿Como hacer para que la IA aporte seguridad aquienes lo usan?"
"5_NA_AP","¿Como reconocer en que trabajos o actividades se puede aplicar ?"
"6_NA_AP","¿Como hacer seguimeinto a la IA?"
"7_NA_AP","¿Como la IA va transformar el futuro de la humanidad?"
"8_NA_AP","¿Hasta que punto es remplazable la IA para la humanidad?"
"9_NA_AP","¿Quien es responsable de los resultados obtenidos por IA?"
"10_NA_AP","¿Que entidad a nivel internacional regula la IA de todos los paises?"
"11_NA_AP","¿,Cuales son los limites de esta inteligencia artifical?"
"12_NA_AP","¿En que espacios o mementos no se debería usar IA?"
"13_NA_AP","¿Como aplicaria la IA en la seguridad de las personas y menores de edad?"
